title,artist
Lost in Florence,Kendall Miles
Baby Blue,Rence
No One Else,Sango
Rocket,James Robb
Love Again,Ta-ku
Vice City,Biig Piig
Yes,Marcus Yates
Starchild,Elujay
sidetoside,McClenney
Brooklyn Love,Lolo Zoua?
Khmlwugh,HOMESHAKE
Tell Meeeee,Salami Rose Joe Louis
Feeling Good,Madson Project.
Don't Be Scared,Sophie Meiers
No Music,Lackhoney
Sun,Sofasound
Quest for Love,Potatohead People
Can I Follow You There?,Garth.
Snug,Aso
Electric (feat. Khalid),Alina Baraz
No Less,SG Lewis
Hex,80purppp
don't wanna wake up (feat. melanie ros?),simon eng
Brakelights,Omar Apollo
A Small Flame,LOONY
Need,Savon
Reflections (feat. Lippi),Ian Ewing
Don't Let Me Down (feat. Khalid),Sabrina Claudio
With You,Mr. Hong
Easy,Simon Jefferis
In My Dreams,LAKEY INSPIRED
Lost Tonight,Saje
Sweet Holy Honey,Sango
In the Midst of It All,Tom Misch
Hold Me Down,Daniel Caesar
Make You Love Me (feat. Zak Abel),Jarreau Vandal
Fresh Out The Shower,Penthouse Penthouse
Insane (Single Edit),Madison McFerrin
Wouldn't Mean A Thing,Bruno Major
ForYou(&HerToo),ESTA.
Summatime Fine,Mars Today
Love You,SiR
Saved,Khalid
Waves (feat. 6LACK),Normani
Try Me,The Weeknd
Mine,Bazzi
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Habit,Still Woozy
All The Stars (with SZA),Kendrick Lamar
Suncity (feat. Empress Of),Khalid
Taste (feat. Offset),Tyga
Honesty,Pink Sweat$
You,Jacquees
Sativa,Jhene Aiko
Passionfruit,Drake
Love Galore (feat. Travis Scott),SZA
TEST DRIVE,Joji
LOVE. FEAT. ZACARI.,Kendrick Lamar
Boo'd Up,Ella Mai
Redbone,Childish Gambino
Signs,Drake
MALAMENTE - Cap.1: Augurio,ROSAL?A
Best Part (feat. H.E.R.),Daniel Caesar
Talk,Khalid
One I Want (feat. PARTYNEXTDOOR),Majid Jordan
Ain't Nobody Takin My Baby,Russ
Stay,Post Malone
MIA (feat. Drake),Bad Bunny
Two Weeks,FKA twigs
Wait (Featuring Offset & Vory),Chantel Jeffries
All The Time,Jeremih
faded/2am (feat. GoldLink),Lila Drew
Let's Fall in Love for the Night,FINNEAS
She Bad,Tyla Yaweh
PIENSO EN TU MIR? - Cap.3: Celos,ROSAL?A
Conversations with my Wife,Jon Bellion
Thinkin Bout You,Frank Ocean
Please,Saro
JT,Jon Bellion
You Come First (feat. Saweetie),Zak Abel
Get You (feat. Kali Uchis),Daniel Caesar
3 Nights,Dominic Fike
Vibe,Tove Styrke
FYT (feat. French Montana),Jeremih
Undressed,Merges
Keep On Loving You,KWAYE
Treat You Better,R?F?S DU SOL
Hues of Sunset,Rook1e
playa,Kaizen 92
Oh!,Peachy!
